Neighbourhood,Latitude,Longitude
Abhirampur,22.530693771856434,88.34650250291418
Agarpara,22.68405000000007,88.39165000000008
Ajoy Nagar,22.48966000000007,88.39640000000009
Alipore,22.52660000000003,88.33510000000007
Amodghata,22.98801000000003,88.38838000000004
Amtala,22.482678048848754,88.37658799417164
"Anandapur, Kolkata",22.51208747155059,88.3369511035259
Ankurhati,22.48783004079867,88.38464411004674
Argari,22.570530000000076,88.37124000000006
Asuti,22.472170000000062,88.25546000000008
B. B. D. Bagh,22.567630000000065,88.34453000000008
Babughat,22.56729000000007,88.34106000000008
Badartala,22.555079999999997,88.24685148658381
Bagbazar,22.604020000000048,88.36637000000007
Baghajatin,22.48395000000005,88.37543000000005
Baguiati,22.61674000000005,88.42691000000008
Baidyabati,22.472510000000057,88.36513000000008
Balaram Pota,22.700780000000066,88.38065000000006
"Balarampur, Budge Budge",22.497570000000053,88.23033000000004
"Bally, Bally-Jagachha",22.570530000000076,88.37124000000006
"Bally, Howrah",22.584571082336563,88.34915776593891
Ballygunge,22.531780000000026,88.36437000000006
Ballygunge Circular Road,22.53052963368793,88.35624213559561
Bamangachhi,22.36719000000005,88.38320000000004
Bamunari,22.710740000000044,88.30164000000008
Bandel,22.529791670694294,88.37228551796782
Bangur Avenue,22.62206251015857,88.3937459037413
Bankra,22.670020000000022,88.44225000000006
Bansberia,22.45727000000005,88.35420000000005
Bansdroni,22.471750000000043,88.35670000000005
Bantala,22.482650000000035,88.27497000000005
Banupur,22.66118000000006,88.41734000000008
Baranagar,22.642980000000023,88.37775000000005
Barasat,22.70125971734958,88.44107527949646
"Barisha, India",22.48222000000004,88.31636000000003
Barkalikapur,22.501570000000072,88.39552000000003
Barrackpore,22.695640000000026,88.42739000000006
Barrackpur Cantonment,22.760269064059315,88.37082357860099
Bartala,22.582334990410445,88.35487082111098
Baruipur,22.359840000000077,88.43262000000004
Batanagar,22.50855000000007,88.22533000000004
Behala,22.502110000000073,88.31834000000003
Belgachia,22.604720000000043,88.38647000000003
Belgharia,22.670250000000067,88.38575000000003
Beliaghata,22.564260000000047,88.40311000000008
"Belur, West Bengal",22.545300000000054,88.36103000000008
Beniapukur,22.54898000000003,88.36693000000008
Benjanhari Acharial,22.465370000000064,88.17831000000007
"Bhadrakali, Hooghly",22.676550000000077,88.35069000000004
"Bhadreswar, Hooghly",22.812190000000044,88.35263000000003
Bhandardaha,22.818480000000022,88.25504000000006
Bhangar Raghunathpur,22.620990000000063,88.42843000000005
"Bhasa, Bishnupur",22.405320000000074,88.26687000000004
Bhatpara,22.505180000000053,88.23032000000006
Bhowanipore,22.535480000000064,88.34623000000005
Bidhannagar,22.591510000000028,88.41680000000008
Bidyadharpur,22.50971000000004,88.37991000000005
Bijoygarh,22.487730000000056,88.36536000000007
"Bijpur, North 24 Parganas",22.808620000000076,88.79242000000005
Bikramgarh,22.497300000000052,88.35919000000007
Bipra Noapara,22.601090000000056,88.21816000000007
Birati,22.669030000000078,88.44117000000006
Birlapur,22.54595000000006,88.34747000000004
"Bishnupur, South 24 Parganas",22.405320000000074,88.26687000000004
Bora Gagangohalia,23.400550000000067,87.74760000000003
Bow Barracks,22.570350000000076,88.35598000000005
Bowali,22.570530000000076,88.37124000000006
Bowbazar,22.566280000000063,88.36115000000007
"Brahmapur, West Bengal",22.45882000000006,88.36615000000006
Budge Budge,22.510967487529356,88.28406574401545
Buita,22.570530000000076,88.37124000000006
Burrabazar,22.579650000000072,88.35257000000007
Burtolla,22.570530000000076,88.37124000000006
Calcutta International School,22.52010000000007,88.39951000000008
Calcutta Riverside,22.512730000000033,88.21643000000006
Chak Alampur,22.40814000000006,88.16893000000005
Chak Baria,22.559965124617705,88.39920552331353
Chak Enayetnagar,22.371030000000076,88.29396000000008
Chak Garia,22.483480000000043,88.38745000000006
Chak Kashipur,22.425730000000044,88.16348000000005
Chakapara,22.570530000000076,88.37124000000006
Champdani,22.60614000000004,88.41106000000008
Chamrail,22.63803000000007,88.29443000000003
Chandannagar,22.50470000000007,88.23987000000005
Chanddandaha,22.382720000000063,88.24055000000004
"Chandpur, Ghola",22.685770000000048,88.42808000000008
Charu Market,22.522943545934567,88.36682255398466
Chata Kalikapur,22.483370000000036,88.24921000000006
Chetla,22.516210000000058,88.34099000000003
Chinsurah,22.903530000000046,88.38261000000006
Chitpur,22.574070000000003,88.35371775000003
Chowringhee,22.544980000000066,88.35434000000004
Cossipore,22.623440000000073,88.37344000000007
Dakshin Jhapardaha,22.632010000000037,88.21485000000007
Dakshin Rajyadharpur,22.74971000000005,88.32689000000005
Dakshin Raypur,22.403550000000052,88.14991000000003
Dakshineswar,22.655160000000024,88.35897000000006
"Danga, Sonarpur",22.476090000000056,88.42254000000008
Dankuni,22.570530000000076,88.37124000000006
"Daulatpur, Bishnupur",22.42004000000003,88.31108000000006
Debanandapur,22.934720000000027,88.37143000000003
Dhakuria,22.51084000000003,88.37258000000008
Dhalai Bridge,22.56958000000003,88.34257000000008
"Dhapa, India",22.53186000000005,88.32676000000004
"Dharmapur, West Bengal",22.570530000000076,88.37124000000006
Dharmatala,22.563900000000046,88.35303000000005
Dhuilya,22.570530000000076,88.37124000000006
Dum Dum,22.619930000000068,88.39418000000006
Dum Dum Park,22.609470000000044,88.41606000000007
"Durganagar, Kolkata",22.520157841797005,88.36983891618098
Duttapukur,22.49669895920134,88.3488957223152
East Kolkata,22.484840000000077,88.37523000000004
Ekbalpur,22.535290000000032,88.32266000000004
Eksara,22.570530000000076,88.37124000000006
Entally,22.55659000000003,88.36925000000008
"Esplanade, Kolkata",22.558710000000076,88.34898000000004
"Fort William, India",22.559560000000033,88.34262000000007
Ganye Gangadharpur,22.478670000000022,88.25941000000006
Garden Reach,22.536620000000028,88.29594000000003
Garfa,22.50275000000005,88.37935000000004
Garia,22.46112000000005,88.38845000000003
Gariahat Road,22.51541059838999,88.36778932070519
Garshyamnagar,22.822820000000036,88.38058000000007
Garulia,22.578080000000057,88.44307000000003
Gayespur,23.28705000000008,88.36171000000007
"Ghola, North 24 Parganas",22.808620000000076,88.79242000000005
Girish Park,22.586280000000045,88.36346000000003
"Gobindapur, Bhangar",22.502800000000036,88.61526000000003
Golf Green,22.494170000000054,88.36331000000007
Gondalpara,22.656264764696115,88.3870243309013
Halisahar,22.93276000000003,88.41279000000009
Haltu,22.503640000000075,88.39039000000008
Hanspukuria,22.44855000000007,88.28924000000006
Haridevpur,22.48079000000007,88.33500000000004
Harinavi,22.570530000000076,88.37124000000006
"Hastings, Kolkata",22.552710000000047,88.33206000000007
Hatgachha,22.545430000000067,88.39698000000004
Hatiara,22.607843269303388,88.4457612045884
Hatibagan,22.59540000000004,88.37260000000003
Hind Motor,22.495921808610504,88.3866356037981
Howrah,22.584571082336563,88.34915776593891
Hridaypur,22.50577000000004,88.30101000000008
Hugli-Chuchura,22.88489000000004,88.37574000000006
Ichapore,22.570530000000076,88.37124000000006
Ichhapur Defence Estate,22.79648000000003,88.37911000000008
Jadavpur,22.48159000000004,88.40856000000008
Jafarpur,22.403810000000078,88.46122000000008
Jagacha,22.570530000000076,88.37124000000006
Jagadishpur,22.581420000000037,88.35091000000006
Jagatdal,22.570530000000076,88.37124000000006
Janbazar,22.558340000000044,88.35720000000003
Jaynagar Majilpur,22.17578000000003,88.42042000000004
Jetia,22.570530000000076,88.37124000000006
Jhorhat,22.570530000000076,88.37124000000006
Jodhpur Park,22.50586000000004,88.36365000000006
"Joka, Kolkata",22.570530000000076,88.37124000000006
Jorabagan,22.589450000000056,88.35438000000005
Jorasanko,22.588680000000068,88.35723000000007
Kadamtala,22.470970000000023,88.30904000000004
Kaikhali,22.626010000000065,88.43513000000007
Kalara,22.659790000000044,88.38167000000004
Kalighat,22.527000000000044,88.34751000000006
"Kalikapur, Sonarpur",22.403130000000033,88.46641000000005
"Kalua, Maheshtala",22.507040000000075,88.25664000000006
"Kalyani, West Bengal",22.452646578683147,88.38693511296094
Kamalgazi,22.44729460290978,88.39068921535912
Kamarhati,22.67724000000004,88.36845000000005
Kanaipur,22.625370000000032,88.39571000000007
Kanchrapara,22.95106000000004,88.43102000000005
Kanganbaria,22.402130000000056,88.23907000000008
Kankurgachi,22.578340000000026,88.39386000000007
Kantlia,22.570530000000076,88.37124000000006
Kanyanagar,22.705986654515538,88.40567258947655
"Kasba, Kolkata",22.527540000000045,88.37517000000008
Katju Nagar,22.49840000000006,88.36997000000008
Kaugachhi,22.77756000000005,88.48638000000005
"Keota, Hooghly",22.925550000000044,88.38510000000008
"Kesabpur, India",22.55118300000001,88.38357300000001
Kestopur,22.603410000000054,88.42333000000008
Khalia,22.570530000000076,88.37124000000006
Khantora,22.624720000000025,88.20817000000005
Khardaha,22.705530000000067,88.41563000000008
Kidderpore,22.53532000000007,88.31930000000006
Kodalia,22.684990000000028,88.44623000000007
Kolkata West International City,22.541630000000055,88.38631000000004
Konnagar,22.66548000000006,88.41966000000008
Kriparampur,22.35638000000006,88.27012000000008
Kudghat,22.48105000000004,88.34546000000006
Kulihanda,22.89868000000007,88.37685000000005
Kumortuli,22.600938700898666,88.36207899064408
Lake Gardens,22.50493000000006,88.35625000000005
"Lake Town, Kolkata",22.592640000000074,88.39531000000005
Lalbazar,22.572420000000022,88.35215000000005
Liluah,22.570530000000076,88.37124000000006
Madhyamgram,22.670970000000068,88.44321000000008
Maheshtala,22.507040000000075,88.25664000000006
Mahiari,22.570530000000076,88.37124000000006
Makardaha,22.504849707995934,88.40637746185696
"Manikpur, West Bengal",22.50860668220902,88.3277380634197
Maniktala,22.585260000000062,88.37507000000005
Mankundu,22.471184986121546,88.39515278864911
"Maricha, Bhangar",22.505100000000027,88.59536000000008
"Model Town, Kolkata",22.463000000000022,88.39582000000007
"Mukundapur, Kolkata",22.58911299194992,88.35502027935824
Muragachha,22.691080000000056,88.41439000000008
Nabagram Colony,22.46028000000007,88.41381000000007
Nadabhanga,22.55831327113599,88.41786750000003
Nagerbazar,22.62276092816804,88.41431526049244
Nahazari,22.424230000000023,88.23633000000007
Naihati,22.570530000000076,88.37124000000006
Naktala,22.470610000000022,88.37222000000008
"Naldanga, Hooghly",22.906850000000077,88.36938000000004
Nalpur,22.570530000000076,88.37124000000006
