,Neighborhoods,Shopping Mall
0,Abhirampur,0.05
1,Agarpara,0.0
2,Ajoy Nagar,0.14285714285714285
3,Alipore,0.0
4,Amtala,0.0
5,"Anandapur, Kolkata",0.0
6,Ankurhati,0.2
7,Argari,0.0
8,B. B. D. Bagh,0.0
9,Babughat,0.0
10,Badartala,0.0
11,Bagbazar,0.0
12,Baghajatin,0.0
13,Baguiati,0.25
14,Baidyabati,0.0
15,Balaram Pota,0.0
16,"Balarampur, Budge Budge",0.0
17,"Bally, Bally-Jagachha",0.0
18,"Bally, Howrah",0.0
19,Ballygunge,0.03333333333333333
20,Ballygunge Circular Road,0.0
21,Bandel,0.0
22,Bangur Avenue,0.0
23,Bankra,0.0
24,Bansdroni,0.0
25,Bantala,0.0
26,Banupur,0.0
27,Baranagar,0.0
28,Barasat,0.0
29,"Barisha, India",0.0
30,Barkalikapur,0.14285714285714285
31,Barrackpore,0.0
32,Barrackpur Cantonment,0.0
33,Bartala,0.0
34,Baruipur,0.0
35,Batanagar,0.0
36,Behala,0.0
37,Belgachia,0.0
38,Belgharia,0.0
39,Beliaghata,0.0
40,"Belur, West Bengal",0.06666666666666667
41,Beniapukur,0.0
42,"Bhadrakali, Hooghly",0.0
43,"Bhadreswar, Hooghly",0.0
44,Bhangar Raghunathpur,0.0
45,"Bhasa, Bishnupur",0.0
46,Bhatpara,0.0
47,Bhowanipore,0.03333333333333333
48,Bidhannagar,0.03333333333333333
49,Bidyadharpur,0.0
50,Bijoygarh,0.0
51,"Bijpur, North 24 Parganas",0.0
52,Bikramgarh,0.047619047619047616
53,Birati,0.0
54,Birlapur,0.03333333333333333
55,"Bishnupur, South 24 Parganas",0.0
56,Bow Barracks,0.0
57,Bowali,0.0
58,Bowbazar,0.0
59,"Brahmapur, West Bengal",0.0
60,Budge Budge,0.0
61,Buita,0.0
62,Burrabazar,0.0
63,Burtolla,0.0
64,Calcutta International School,0.06666666666666667
65,Calcutta Riverside,0.0
66,Chak Baria,0.0
67,Chak Garia,0.25
68,Chakapara,0.0
69,Champdani,0.0
70,Chandannagar,0.0
71,"Chandpur, Ghola",0.0
72,Charu Market,0.0
73,Chetla,0.0
74,Chinsurah,0.0
75,Chitpur,0.0
76,Chowringhee,0.03333333333333333
77,Cossipore,0.0
78,Dakshin Jhapardaha,0.0
79,Dakshin Rajyadharpur,0.0
80,Dakshineswar,0.0
81,Dankuni,0.0
82,Dhakuria,0.1111111111111111
83,Dhalai Bridge,0.0
84,"Dhapa, India",0.0
85,"Dharmapur, West Bengal",0.0
86,Dharmatala,0.0
87,Dhuilya,0.0
88,Dum Dum,0.0
89,Dum Dum Park,0.16666666666666666
90,"Durganagar, Kolkata",0.0
91,Duttapukur,0.0
92,East Kolkata,0.0
93,Ekbalpur,0.0
94,Eksara,0.0
95,Entally,0.0
96,"Esplanade, Kolkata",0.0
97,"Fort William, India",0.0
98,Garden Reach,0.0
99,Garfa,0.0
100,Garia,0.0
101,Gariahat Road,0.03333333333333333
102,Garshyamnagar,0.0
103,Garulia,0.0
104,"Ghola, North 24 Parganas",0.0
105,Girish Park,0.0
106,"Gobindapur, Bhangar",0.0
107,Golf Green,0.045454545454545456
108,Gondalpara,0.0
109,Halisahar,0.0
110,Haltu,0.2
111,Hanspukuria,0.0
112,Haridevpur,0.0
113,Harinavi,0.0
114,"Hastings, Kolkata",0.0
115,Hatgachha,0.0
116,Hatibagan,0.0
117,Hind Motor,0.0
118,Howrah,0.0
119,Hridaypur,0.0
120,Hugli-Chuchura,0.0
121,Ichapore,0.0
122,Ichhapur Defence Estate,0.0
123,Jadavpur,0.0
124,Jagacha,0.0
125,Jagadishpur,0.0
126,Jagatdal,0.0
